filename,width,height,class,xmin,ymin,xmax,ymax
color_00001.jpg,512,512,five,332,130,400,220
color_00002.jpg,512,512,two,348,130,396,220
color_00003.jpg,512,512,three,333,130,393,220
color_00004.jpg,512,512,four,345,129,401,220
color_00005.jpg,512,512,four,345,129,401,220
color_00006.jpg,512,512,five,332,130,400,220
color_00007.jpg,512,512,nine,341,130,396,220
color_00008.jpg,512,512,five,332,130,400,220
color_00009.jpg,512,512,four,345,129,401,220
color_00010.jpg,512,512,eight,345,136,390,220
color_00011.jpg,512,512,five,332,130,400,220
color_00012.jpg,512,512,four,345,129,401,220
color_00013.jpg,512,512,one,346,131,395,220
color_00014.jpg,512,512,span,343,158,411,220
color_00015.jpg,512,512,one,346,131,395,220
color_00016.jpg,512,512,nine,341,130,396,220
color_00017.jpg,512,512,nine,341,130,396,220
color_00018.jpg,512,512,five,332,130,400,220
color_00019.jpg,512,512,six,350,130,398,220
color_00020.jpg,512,512,nine,341,130,396,220
color_00021.jpg,512,512,five,332,130,400,220
color_00022.jpg,512,512,three,333,130,393,220
color_00023.jpg,512,512,nine,341,130,396,220
color_00024.jpg,512,512,six,350,130,398,220
color_00025.jpg,512,512,four,345,129,401,220
color_00026.jpg,512,512,punch,344,164,394,220
color_00027.jpg,512,512,three,333,130,393,220
color_00028.jpg,512,512,span,343,158,411,220
color_00029.jpg,512,512,eight,345,136,390,220
color_00030.jpg,512,512,three,333,130,393,220
color_00031.jpg,512,512,punch,344,164,394,220
color_00032.jpg,512,512,five,332,130,400,220
color_00033.jpg,512,512,three,333,130,393,220
color_00034.jpg,512,512,four,345,129,401,220
color_00035.jpg,512,512,six,350,130,398,220
color_00036.jpg,512,512,seven,346,130,391,220
color_00037.jpg,512,512,six,350,130,398,220
color_00038.jpg,512,512,five,332,130,400,220
color_00039.jpg,512,512,nine,341,130,396,220
color_00040.jpg,512,512,five,332,130,400,220
color_00041.jpg,512,512,seven,346,130,391,220
color_00042.jpg,512,512,nine,341,130,396,220
color_00043.jpg,512,512,three,333,130,393,220
color_00044.jpg,512,512,five,332,130,400,220
color_00045.jpg,512,512,nine,341,130,396,220
color_00046.jpg,512,512,six,350,130,398,220
color_00047.jpg,512,512,seven,346,130,391,220
color_00048.jpg,512,512,seven,346,130,391,220
color_00049.jpg,512,512,span,343,158,411,220
color_00050.jpg,512,512,six,350,130,398,220
color_00051.jpg,512,512,five,332,130,400,220
color_00052.jpg,512,512,one,346,131,395,220
color_00053.jpg,512,512,three,333,130,393,220
color_00054.jpg,512,512,eight,345,136,390,220
color_00055.jpg,512,512,punch,344,164,394,220
color_00056.jpg,512,512,two,348,130,396,220
color_00057.jpg,512,512,span,343,158,411,220
color_00058.jpg,512,512,two,348,130,396,220
color_00059.jpg,512,512,three,333,130,393,220
color_00060.jpg,512,512,five,332,130,400,220
color_00061.jpg,512,512,eight,345,136,390,220
color_00062.jpg,512,512,punch,344,164,394,220
color_00063.jpg,512,512,one,346,131,395,220
color_00064.jpg,512,512,nine,341,130,396,220
color_00065.jpg,512,512,two,348,130,396,220
color_00066.jpg,512,512,eight,345,136,390,220
color_00067.jpg,512,512,one,346,131,395,220
color_00068.jpg,512,512,three,333,130,393,220
color_00069.jpg,512,512,nine,341,130,396,220
