filename,width,height,class,xmin,ymin,xmax,ymax
031_color.png,960,540,punch,324,259,381,309
031_color.png,960,540,punch,503,260,557,307
032_color.png,960,540,punch,322,259,379,309
032_color.png,960,540,punch,503,260,557,307
033_color.png,960,540,punch,323,257,380,307
033_color.png,960,540,punch,503,258,557,305
034_color.png,960,540,punch,323,257,380,307
034_color.png,960,540,punch,503,258,557,305
035_color.png,960,540,punch,323,257,380,307
035_color.png,960,540,punch,503,258,557,305
036_color.png,960,540,punch,323,256,380,306
036_color.png,960,540,punch,503,258,557,305
037_color.png,960,540,punch,323,256,380,306
037_color.png,960,540,punch,503,257,558,305
038_color.png,960,540,punch,323,256,380,306
038_color.png,960,540,punch,503,257,558,305
039_color.png,960,540,punch,323,256,380,306
039_color.png,960,540,punch,503,257,556,305
040_color.png,960,540,punch,323,256,380,306
040_color.png,960,540,punch,503,257,556,305
041_color.png,960,540,punch,324,256,381,306
041_color.png,960,540,punch,505,257,558,305
051_color.png,960,540,punch,321,249,381,301
051_color.png,960,540,punch,506,252,561,300
052_color.png,960,540,punch,321,249,381,301
052_color.png,960,540,punch,506,252,561,300
053_color.png,960,540,punch,321,248,381,300
053_color.png,960,540,punch,506,252,561,300
054_color.png,960,540,punch,321,248,381,300
054_color.png,960,540,punch,506,250,562,300
055_color.png,960,540,punch,321,248,381,300
055_color.png,960,540,punch,507,248,564,298
056_color.png,960,540,punch,321,246,381,298
056_color.png,960,540,punch,505,248,562,298
057_color.png,960,540,punch,321,246,381,298
057_color.png,960,540,punch,505,248,562,298
058_color.png,960,540,punch,321,246,381,298
058_color.png,960,540,punch,505,248,562,298
059_color.png,960,540,punch,321,245,381,297
059_color.png,960,540,punch,504,247,561,297
060_color.png,960,540,punch,321,245,381,297
060_color.png,960,540,punch,504,247,561,297
061_color.png,960,540,punch,321,243,381,295
061_color.png,960,540,punch,504,247,561,297
062_color.png,960,540,punch,320,242,380,294
062_color.png,960,540,punch,503,247,560,297
063_color.png,960,540,punch,320,242,380,294
063_color.png,960,540,punch,504,246,561,296
064_color.png,960,540,punch,320,242,380,294
064_color.png,960,540,punch,504,246,561,296
065_color.png,960,540,punch,320,241,380,294
065_color.png,960,540,punch,504,245,563,296
066_color.png,960,540,punch,318,240,380,294
066_color.png,960,540,punch,504,245,563,296
067_color.png,960,540,punch,318,240,380,294
067_color.png,960,540,punch,504,245,563,296
068_color.png,960,540,punch,317,238,380,294
068_color.png,960,540,punch,504,243,563,294
069_color.png,960,540,punch,317,238,380,294
069_color.png,960,540,punch,504,243,563,294
070_color.png,960,540,punch,319,237,381,293
070_color.png,960,540,punch,504,241,563,294
071_color.png,960,540,punch,320,237,381,293
071_color.png,960,540,punch,504,241,563,294
072_color.png,960,540,punch,320,237,383,293
072_color.png,960,540,punch,504,241,563,294
073_color.png,960,540,punch,321,237,383,293
073_color.png,960,540,punch,502,239,563,293
074_color.png,960,540,punch,319,234,383,293
074_color.png,960,540,punch,502,240,563,294
075_color.png,960,540,punch,319,234,383,293
075_color.png,960,540,punch,502,239,563,293
076_color.png,960,540,punch,319,234,383,293
076_color.png,960,540,punch,502,240,563,294
077_color.png,960,540,punch,319,234,383,293
077_color.png,960,540,punch,504,242,565,296
078_color.png,960,540,punch,319,234,383,293
078_color.png,960,540,punch,504,242,565,296
079_color.png,960,540,punch,319,234,383,293
079_color.png,960,540,punch,504,244,565,298
080_color.png,960,540,punch,317,234,383,295
080_color.png,960,540,punch,505,247,566,301
081_color.png,960,540,punch,317,236,381,295
081_color.png,960,540,punch,507,249,568,301
082_color.png,960,540,punch,314,234,381,295
082_color.png,960,540,punch,507,249,568,301
083_color.png,960,540,punch,314,236,381,295
083_color.png,960,540,punch,507,249,570,306
084_color.png,960,540,punch,312,237,379,296
084_color.png,960,540,punch,509,250,572,307
085_color.png,960,540,punch,312,237,379,296
085_color.png,960,540,punch,509,250,572,307
086_color.png,960,540,punch,310,238,377,300
086_color.png,960,540,punch,510,250,573,307
087_color.png,960,540,punch,310,238,377,300
087_color.png,960,540,punch,512,250,575,307
088_color.png,960,540,punch,310,240,377,302
088_color.png,960,540,punch,512,252,575,309
089_color.png,960,540,punch,308,244,374,302
089_color.png,960,540,punch,515,252,575,309
090_color.png,960,540,punch,308,244,374,302
090_color.png,960,540,punch,517,253,577,310
091_color.png,960,540,punch,306,244,372,302
091_color.png,960,540,punch,517,253,578,312
092_color.png,960,540,punch,306,244,372,302
